Scenario,Market_Growth,Tsukumo_Share_Growth,Future_Market_Demand,Future_Tsukumo_Share,Annual_Tsukumo_Demand
1,0.07238382825999136,0.2172262270552362,2144767.6565199825,0.043820144173988496,93984.02792841307
2,0.10667977113844128,0.18159697629191437,2213359.5422768826,0.04253749114650891,94150.76193364391
3,0.08893841907631,0.20071686081496085,2177876.83815262,0.04322580698933858,94140.48385253613
4,0.08198908766037484,0.20485659344167978,2163978.1753207496,0.043374837363900465,93862.2014135676
5,0.06090100938325281,0.16523981835849721,2121802.0187665056,0.041948633460905896,89006.69516184632
6,0.06089939369793697,0.20570241834487116,2121798.787395874,0.04340528706041536,92097.28545135913
7,0.05275280808571032,0.17919966812202592,2105505.6161714206,0.042451188052392924,89381.21485746242
8,0.09805083429352647,0.16803490961791595,2196101.6685870527,0.04204925674624497,92344.44290327396
9,0.08210559463819958,0.23401337078264045,2164211.1892763996,0.04442448134817505,96143.95961152116
10,0.08758181498087475,0.23689123062117565,2175163.6299617495,0.04452808430236232,96855.86948636922
11,0.04759187618630908,0.21904821072348654,2095183.752372618,0.04388573558604551,91948.68016080337
12,0.10959209280321829,0.18902651465179607,2219184.185606437,0.042804954527464655,94992.0781529522
13,0.09543973751934882,0.1720988816466336,2190879.4750386975,0.042195559739278805,92445.38577055515
14,0.06438338594000376,0.2102654449195764,2128766.771880008,0.04356955601710475,92749.42311477725
15,0.06256346401109283,0.19691228483774806,2125126.928022186,0.043088842254158925,91569.25897161331
16,0.06266125829669691,0.17470204797630945,2125322.516593394,0.042289273727147136,89878.34566268725
17,0.06918695393984622,0.19975826112874476,2138373.9078796925,0.04319129740063481,92359.14340898946
18,0.07863725291855068,0.1631126887241363,2157274.505837101,0.041872056794068906,90329.52062880802
19,0.07477709091051067,0.22870685580741798,2149554.1818210217,0.04423344680906704,95082.19056478779
20,0.06855593795613299,0.18597082022973738,2137111.875912266,0.04269494952827054,91243.88367834176
21,0.082619128166943,0.20892216439209474,2165238.256333886,0.04352119791811541,94233.76269378216
22,0.059763168010865994,0.18947854329185734,2119526.3360217316,0.04282122755850686,90760.71955103485
23,0.06860078698040686,0.20101367645851603,2137201.5739608137,0.043236492352506574,92405.09950832173
24,0.0720283181141679,0.20239276732172304,2144056.6362283356,0.04328613962358202,92807.93491664734
25,0.07574903326684634,0.18040184661542183,2151498.0665336926,0.042494466478155184,91426.7624661317
